U,V,W,U_x,U_y,U_z,V_x,V_y,V_z,W_x,W_y,W_Z,UU,UV,UW,VV,VW,WW
1.195268869,0.00317133707,0.0003457270795,0.0,-0.04442520067,0.9743608832,0.0,0.0003617986804,-0.02207554504,0.0,0.02222478203,0.002570937853,0.01000638492,-0.002733120229,0.0001528004505,0.003285633167,6.160289922e-05,0.004643743858
1.20815599,0.002859042259,0.0003403589071,0.0,-0.04342702404,0.9267095923,0.0,-0.002327529481,-0.02516632713,0.0,0.02525814995,-0.0005981537397,0.009360004216,-0.002576018218,0.0001582066179,0.003173539415,6.17826372e-05,0.004405327141
1.220968366,0.002473424887,0.0003291390894,0.0,-0.04386982322,0.8798419833,0.0,-0.00457098335,-0.02731052227,0.0,0.02716578916,-0.0002898776438,0.008725351654,-0.00240851636,0.0001714683749,0.003058569273,6.250497245e-05,0.004167424981
1.233681083,0.002066736808,0.000331949268,0.0,-0.04793759063,0.831625104,0.0,-0.006120203063,-0.02707467228,0.0,0.02694967017,0.002383043524,0.008097610436,-0.002229562495,0.000185570374,0.00294130668,6.383142318e-05,0.003929044586
1.246207356,0.001651735627,0.000401462079,0.0,-0.05291096866,0.7799873352,0.0,-0.007301934063,-0.0253856089,0.0,0.02516410127,0.00585052697,0.007481424138,-0.002041121479,0.0001977061329,0.002826188458,6.608200783e-05,0.003690335201
1.258446455,0.001260718564,0.0005177092971,0.0,-0.05807948485,0.7269735336,0.0,-0.007514683995,-0.02251713723,0.0,0.02282088995,0.007879099809,0.006885434967,-0.00184461812,0.0002075496595,0.002715558279,6.653132732e-05,0.003453579033
1.270354509,0.0009038064163,0.0006631742581,0.0,-0.06723821163,0.6675760746,0.0,-0.007075144444,-0.01929814555,0.0,0.01940919459,0.005736487918,0.006320134271,-0.001644913922,0.0002130742068,0.002608417999,6.367467722e-05,0.003219112987
1.281643391,0.0005901465775,0.0007170407916,0.0,-0.07670714706,0.5986372232,0.0,-0.005839325022,-0.01563234814,0.0,0.01597838663,-0.0001152079785,0.005793504883,-0.001442610868,0.0002238819579,0.002511619357,6.009997378e-05,0.00299742748
1.292115569,0.0003355549998,0.0006589863333,0.0,-0.08755702525,0.5241773129,0.0,-0.004539427813,-0.01144385152,0.0,0.01175992563,-0.003747762647,0.005297178403,-0.001242640428,0.0002341938089,0.002425790066,5.732652789e-05,0.002796282526
1.30157733,0.0001549483568,0.000574517122,0.0,-0.09897729009,0.4491382539,0.0,-0.003864613129,-0.007335411385,0.0,0.00734580541,-0.002276875544,0.004841117654,-0.00104697526,0.0002416161442,0.002351596253,5.658341252e-05,0.002618004335
1.309984088,4.372295007e-05,0.0005684031057,0.0,-0.1085763127,0.3711953163,0.0,-0.003019190393,-0.00416724151,0.0,0.004104423802,-0.0008762252401,0.004432502668,-0.0008546888712,0.0002466756559,0.002284303308,5.424958363e-05,0.00246244669
1.317026258,-1.84897508e-05,0.0005380491493,0.0,-0.1181528196,0.2844343781,0.0,-0.001168340794,-0.002547367476,0.0,0.002284526825,-0.002156321658,0.004094036296,-0.0006635285099,0.0002606633352,0.002226637676,4.633382196e-05,0.002334044315
1.322368503,-6.71907037e-05,0.0004745157785,0.0,-0.1244170815,0.1978717297,0.0,0.00111537741,-0.00169779046,0.0,0.001342488569,-0.002049853792,0.003829173744,-0.0004707478802,0.0002748478728,0.002181552351,3.61370403e-05,0.002235747874
